Datetime,1._open,2._high,3._low,4._close,5._volume
2025-06-05 11:00:00,142.5250,142.7500,142.3700,142.6899,6280942
2025-06-05 11:15:00,142.6850,143.2500,142.6800,143.0389,9362268
2025-06-05 11:30:00,143.0318,143.9600,142.8650,143.8350,9502095
2025-06-05 11:45:00,143.8350,144.0000,143.4300,143.7550,7952339
2025-06-05 12:00:00,143.7405,143.7699,142.9600,142.9700,6539288
2025-06-05 12:15:00,142.9600,143.1650,142.5899,143.0050,7887973
2025-06-05 12:30:00,143.0000,143.0750,141.9300,141.9401,7761763
2025-06-05 12:45:00,141.9450,141.9980,140.9700,141.1850,7666572
2025-06-05 13:00:00,141.1800,141.7800,140.7800,141.6650,7036323
2025-06-05 13:15:00,141.6600,141.8799,141.5400,141.5787,4153939
2025-06-05 13:30:00,141.5735,141.7899,141.4710,141.5850,4550699
2025-06-05 13:45:00,141.5800,141.5900,140.9700,140.9900,3878635
2025-06-05 14:00:00,140.9800,141.0900,140.4001,140.4600,5777292
2025-06-05 14:15:00,140.4590,140.8900,139.7900,140.7150,7602737
2025-06-05 14:30:00,140.7150,141.1250,140.5000,140.7100,4102132
2025-06-05 14:45:00,140.7099,141.0000,140.5700,140.6101,3084157
2025-06-05 15:00:00,140.6150,140.7000,139.7800,139.8400,4588278
2025-06-05 15:15:00,139.8400,139.9150,138.8300,139.5901,11052828
2025-06-05 15:30:00,139.6000,140.4700,139.5707,140.1750,7484921
2025-06-05 15:45:00,140.1700,141.0000,139.8100,139.9500,11185668
2025-06-05 16:00:00,140.0088,140.8100,139.7500,139.7650,44132260
2025-06-05 16:15:00,139.9900,140.1500,101.4900,139.9399,855310
2025-06-05 16:30:00,139.9000,172.9220,103.5855,139.1499,1830645
2025-06-05 16:45:00,139.1499,177.1962,96.9351,138.1400,437154
2025-06-05 17:00:00,138.1200,139.1800,102.9200,138.4000,702000
2025-06-05 17:15:00,138.4500,138.6400,138.0200,138.5100,368498
2025-06-05 17:30:00,138.5500,138.7500,138.2200,138.3500,185548
2025-06-05 17:45:00,138.3800,139.9900,138.0200,138.0300,2297645
2025-06-05 18:00:00,138.0500,139.9900,138.0300,138.3300,234238
2025-06-05 18:15:00,138.3500,138.9800,138.3000,138.7350,199963
2025-06-05 18:30:00,138.7900,138.8500,138.5000,138.6701,106644
2025-06-05 18:45:00,138.6700,139.0000,138.5500,138.9400,152898
2025-06-05 19:00:00,138.9600,139.2600,138.9600,139.1500,142220
2025-06-05 19:15:00,139.1400,139.3500,138.9412,139.2400,84477
2025-06-05 19:30:00,139.2800,139.3300,139.0600,139.1600,109615
2025-06-05 19:45:00,139.1700,139.1900,138.9000,138.9550,201974
2025-06-06 04:00:00,140.4900,140.5000,139.9800,140.0800,191446
2025-06-06 04:15:00,140.0600,140.2200,139.7700,140.1100,85331
2025-06-06 04:30:00,140.1400,140.2700,140.0600,140.2500,45154
2025-06-06 04:45:00,140.2400,140.4400,140.1600,140.3500,73669
2025-06-06 05:00:00,140.3500,140.4400,140.2400,140.4200,45072
2025-06-06 05:15:00,140.4200,140.6900,140.4000,140.5200,74606
2025-06-06 05:30:00,140.5300,140.7500,140.4500,140.6100,75424
2025-06-06 05:45:00,140.6000,140.9300,140.5500,140.8900,77432
2025-06-06 06:00:00,140.8900,140.9300,140.6800,140.8000,45886
2025-06-06 06:15:00,140.7900,140.8200,140.6900,140.7600,35121
2025-06-06 06:30:00,140.7500,140.8200,140.4700,140.5800,77994
2025-06-06 06:45:00,140.5700,140.5800,140.3500,140.4100,66518
2025-06-06 07:00:00,140.3900,140.6100,140.2200,140.4600,157869
2025-06-06 07:15:00,140.4600,140.6800,140.3500,140.6300,102014
2025-06-06 07:30:00,140.5900,140.6400,140.4700,140.5600,79323
2025-06-06 07:45:00,140.5400,140.6700,140.4700,140.5100,52171
2025-06-06 08:00:00,140.5000,140.9300,139.7760,140.6500,956918
2025-06-06 08:15:00,140.6595,140.9200,140.6200,140.8800,322340
2025-06-06 08:30:00,140.8800,141.8900,140.8800,141.8400,1478282
2025-06-06 08:45:00,141.8300,141.9700,141.6600,141.8499,586550
2025-06-06 09:00:00,141.8300,142.2500,139.9900,142.1999,930213
2025-06-06 09:15:00,142.1900,142.7500,142.1300,142.5700,986737
2025-06-06 09:30:00,142.5100,143.2287,141.8100,142.9000,17737595
2025-06-06 09:45:00,142.8750,143.2700,141.9800,142.3650,10272958
2025-06-06 10:00:00,142.3689,142.9600,141.8800,142.2000,6786630
2025-06-06 10:15:00,142.2099,142.5900,141.5100,141.6450,6787610
2025-06-06 10:30:00,141.6400,142.4900,141.6250,142.3800,6038558
2025-06-06 10:45:00,142.3800,142.6499,142.2800,142.3900,5800854
2025-06-06 11:00:00,142.3950,142.8300,142.1650,142.2803,5094332
2025-06-06 11:15:00,142.2850,142.3400,141.5600,141.7900,5759629
2025-06-06 11:30:00,141.7900,141.9800,141.5800,141.8300,3388970
2025-06-06 11:45:00,141.8300,142.2350,141.7400,142.1100,3887247
2025-06-06 12:00:00,142.1150,142.8800,142.0500,142.7250,5302350
2025-06-06 12:15:00,142.7200,142.7284,142.1600,142.2600,3694444
2025-06-06 12:30:00,142.2650,142.4100,141.9650,142.0748,2970914
2025-06-06 12:45:00,142.0800,142.1700,141.5400,141.8810,3735680
2025-06-06 13:00:00,141.8850,142.1000,141.7500,141.9050,2872374
2025-06-06 13:15:00,141.9050,142.2600,141.8600,142.1150,2800379
2025-06-06 13:30:00,142.1150,142.4500,142.0300,142.3853,2528860
2025-06-06 13:45:00,142.3850,142.4900,142.2800,142.4400,2257569
2025-06-06 14:00:00,142.4500,142.6900,142.4400,142.5917,3754939
2025-06-06 14:15:00,142.6000,142.7300,142.3318,142.3700,3096082
2025-06-06 14:30:00,142.3615,142.8600,142.3500,142.4099,4177034
2025-06-06 14:45:00,142.4050,142.4800,142.2100,142.2455,2784846
2025-06-06 15:00:00,142.2400,142.3400,141.9850,142.1212,3096453
2025-06-06 15:15:00,142.1250,142.2450,141.9600,142.0800,3148302
2025-06-06 15:30:00,142.0700,142.1100,141.7350,141.9300,4557925
2025-06-06 15:45:00,141.9350,142.0300,141.6400,141.6900,10277620
2025-06-06 16:00:00,141.6900,142.2055,141.5000,141.6100,22643134
2025-06-06 16:15:00,141.6000,142.1293,141.5800,141.7500,167693
2025-06-06 16:30:00,141.7700,142.0400,141.7500,141.9900,239423
2025-06-06 16:45:00,141.9800,144.7735,137.3800,141.9700,166491
2025-06-06 17:00:00,141.9800,151.4433,132.3874,141.8850,86000
2025-06-06 17:15:00,141.8900,141.8900,141.6500,141.7300,120638
2025-06-06 17:30:00,141.7300,141.7800,141.6400,141.6900,73050
2025-06-06 17:45:00,141.7200,141.7200,141.6200,141.6900,62210
2025-06-06 18:00:00,141.7000,141.8000,141.6800,141.7900,60801
2025-06-06 18:15:00,141.8000,141.8400,141.7600,141.8100,27467
2025-06-06 18:30:00,141.8100,141.8200,141.7500,141.7750,28940
2025-06-06 18:45:00,141.7700,141.8000,141.7200,141.7600,41249
2025-06-06 19:00:00,141.7700,141.8000,141.7000,141.7400,54803
2025-06-06 19:15:00,141.7500,141.8000,141.7300,141.7700,32530
