Datetime,Open,High,Low,Close,Volume
2025-06-06 11:45:00,598.5200,598.9500,598.3700,598.9416,488773
2025-06-06 11:50:00,598.9500,599.2300,598.9300,599.0000,387285
2025-06-06 11:55:00,598.9800,599.1200,598.3350,598.6901,466902
2025-06-06 12:00:00,598.7000,598.9400,598.6500,598.8400,357282
2025-06-06 12:05:00,598.8300,599.0200,598.7700,598.9700,284580
2025-06-06 12:10:00,598.9700,599.3900,598.8850,599.1500,373699
2025-06-06 12:15:00,599.1400,599.1700,598.7350,598.8400,485180
2025-06-06 12:20:00,598.8400,598.9850,598.4500,598.6335,432981
2025-06-06 12:25:00,598.6400,598.7500,598.3800,598.5900,257339
2025-06-06 12:30:00,598.5800,598.8900,598.5100,598.6450,343706
2025-06-06 12:35:00,598.6700,598.6900,598.1900,598.2700,504595
2025-06-06 12:40:00,598.2500,598.5189,597.5200,597.8400,786142
2025-06-06 12:45:00,597.8500,598.1850,597.6500,598.1000,471724
2025-06-06 12:50:00,598.1000,598.1600,597.3400,597.5000,563421
2025-06-06 12:55:00,597.4900,597.6500,596.8600,597.6200,933040
2025-06-06 13:00:00,597.6100,597.8100,597.4400,597.5400,497261
2025-06-06 13:05:00,597.5250,597.6450,597.1400,597.3720,412489
2025-06-06 13:10:00,597.3800,597.7300,597.1250,597.6700,1600996
2025-06-06 13:15:00,597.6500,598.2300,597.4800,598.2200,526630
2025-06-06 13:20:00,598.2100,598.5900,598.1900,598.4050,1732568
2025-06-06 13:25:00,598.4050,598.4200,598.1000,598.1900,318939
2025-06-06 13:30:00,598.2000,598.6000,598.2000,598.4350,333175
2025-06-06 13:35:00,598.4400,598.6799,598.3200,598.6400,253662
2025-06-06 13:40:00,598.6400,598.8100,598.4800,598.7711,351960
2025-06-06 13:45:00,598.7700,598.9200,598.7600,598.8600,336493
2025-06-06 13:50:00,598.8750,599.0000,598.7200,598.8099,382279
2025-06-06 13:55:00,598.8000,599.0500,598.8000,598.9500,329911
2025-06-06 14:00:00,598.9500,599.8400,598.9500,599.6950,935110
2025-06-06 14:05:00,599.7100,599.8500,599.5300,599.8400,404445
2025-06-06 14:10:00,599.8400,599.8700,599.6601,599.7100,401694
2025-06-06 14:15:00,599.7046,600.0700,599.7046,600.0100,1091123
2025-06-06 14:20:00,600.0100,600.1300,599.7001,599.9000,631214
2025-06-06 14:25:00,599.8900,599.9100,599.5100,599.5800,778747
2025-06-06 14:30:00,599.5900,600.6400,599.5700,600.2300,1263269
2025-06-06 14:35:00,600.2200,600.3200,599.8600,599.9299,550740
2025-06-06 14:40:00,599.9300,600.2200,599.6200,599.8050,522918
2025-06-06 14:45:00,599.8000,599.8398,599.5400,599.7100,400220
2025-06-06 14:50:00,599.7000,599.9300,599.4650,599.9000,467265
2025-06-06 14:55:00,599.8900,600.0754,599.7200,599.7200,400062
2025-06-06 15:00:00,599.7300,599.9701,599.6500,599.8300,568282
2025-06-06 15:05:00,599.8400,600.0600,599.6400,599.6600,462597
2025-06-06 15:10:00,599.6515,599.8700,599.4800,599.6700,489621
2025-06-06 15:15:00,599.6700,599.7100,599.4200,599.4900,484769
2025-06-06 15:20:00,599.4900,599.4900,599.1800,599.3050,761364
2025-06-06 15:25:00,599.3000,599.7600,599.2800,599.3500,749935
2025-06-06 15:30:00,599.3400,599.5700,599.1900,599.3250,661003
2025-06-06 15:35:00,599.3200,599.5900,599.1200,599.1700,731208
2025-06-06 15:40:00,599.1700,599.3400,598.9900,599.3100,753240
2025-06-06 15:45:00,599.3200,599.6000,599.0100,599.1700,1201333
2025-06-06 15:50:00,599.1700,599.8500,599.1100,599.6800,2028008
2025-06-06 15:55:00,599.6700,599.6800,598.9100,599.0500,3997566
2025-06-06 16:00:00,599.0300,599.3000,598.8400,598.9500,3335656
2025-06-06 16:05:00,598.9599,599.2100,598.9599,599.1000,353847
2025-06-06 16:10:00,599.1400,599.2900,599.0097,599.2200,3130241
2025-06-06 16:15:00,599.2000,599.5500,599.1400,599.3600,337577
2025-06-06 16:20:00,599.3600,599.5400,599.0100,599.5100,87601
2025-06-06 16:25:00,599.5005,599.6105,599.3797,599.4000,46091
2025-06-06 16:30:00,599.3800,599.4800,599.3800,599.4306,34672
2025-06-06 16:35:00,599.4500,599.5200,599.4200,599.5000,22983
2025-06-06 16:40:00,599.5200,599.5202,599.4200,599.4350,12553
